zona,area_quartos,enderecos_lista,aluguel
centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
centro,562 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",35.000
centro,600 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",23.880
centro,540 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",15.000
centro,369 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",7.000
centro,780 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",39.000
centro,219 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.760
centro,480 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.000
centro,"1,040 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",60.000
centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.000
centro,800 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",25.000
centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",11.000
centro,162 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
centro,162 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
centro,245 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",25.000
centro,638 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",47.861
centro,185 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
centro,148 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",9.620
centro,149 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
centro,155 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.800
centro,500 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",32.500
centro,500 m² construídos6 quartos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
centro,210 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.500
centro,195 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
centro,250 m² construídos,"Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",8.300
centro,375 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.800
centro,400 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
centro,160 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.400
centro,450 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",28.000
centro,345 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",20.000
centro,40 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",1.800
centro,94 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
centro,90 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
centro,225 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
